episode,timestep,reward
1,2000,331.5
3,4000,319.0
5,6000,322.0
7,8000,321.5
9,10000,326.75
11,12000,322.5
13,14000,343.0
15,16000,331.0
17,18000,336.5
19,20000,357.5
21,22000,350.0
23,24000,364.25
25,26000,355.0
27,28000,359.5
29,30000,363.0
31,32000,380.0
33,34000,380.0
35,36000,382.5
37,38000,385.5
39,40000,404.25
41,42000,420.5
43,44000,423.0
45,46000,423.25
47,48000,426.25
49,50000,449.25
51,52000,447.5
53,54000,458.0
55,56000,462.0
57,58000,470.5
59,60000,464.5
61,62000,480.25
63,64000,486.25
65,66000,475.25
67,68000,490.5
69,70000,479.25
71,72000,492.5
73,74000,492.25
75,76000,499.25
77,78000,514.0
79,80000,505.75
81,82000,506.25
83,84000,513.0
85,86000,523.75
87,88000,532.5
89,90000,531.0
91,92000,533.75
93,94000,542.5
95,96000,546.75
97,98000,539.75
99,100000,550.0
101,102000,561.0
103,104000,550.5
105,106000,565.0
107,108000,549.0
109,110000,565.25
111,112000,569.0
113,114000,570.5
115,116000,575.5
117,118000,584.0
119,120000,592.75
121,122000,594.5
123,124000,597.5
125,126000,606.75
127,128000,611.25
129,130000,614.75
131,132000,627.5
133,134000,611.25
135,136000,605.75
137,138000,610.75
139,140000,603.25
141,142000,617.0
143,144000,613.0
145,146000,618.75
147,148000,620.25
149,150000,627.25
151,152000,631.25
153,154000,636.5
155,156000,646.75
157,158000,651.25
159,160000,638.5
161,162000,637.5
163,164000,646.25
165,166000,646.75
167,168000,648.0
169,170000,647.5
171,172000,666.75
173,174000,656.75
175,176000,653.5
177,178000,662.75
179,180000,663.5
181,182000,662.0
183,184000,678.0
185,186000,679.75
187,188000,686.5
189,190000,676.5
191,192000,679.5
193,194000,668.5
195,196000,675.5
197,198000,688.75
199,200000,691.25
201,202000,678.25
203,204000,685.0
205,206000,678.5
207,208000,675.25
209,210000,680.25
211,212000,680.25
213,214000,685.75
215,216000,679.5
217,218000,688.25
219,220000,691.75
221,222000,683.0
223,224000,686.5
225,226000,686.25
227,228000,690.0
229,230000,688.75
231,232000,683.75
233,234000,688.5
235,236000,698.5
237,238000,694.25
239,240000,694.25
241,242000,695.5
243,244000,682.0
245,246000,685.5
247,248000,691.0
249,250000,692.5
251,252000,692.25
253,254000,708.5
255,256000,698.0
257,258000,705.75
259,260000,718.75
261,262000,721.5
263,264000,714.25
265,266000,708.75
267,268000,701.5
269,270000,708.0
271,272000,698.5
273,274000,709.0
275,276000,697.5
277,278000,704.25
279,280000,716.25
281,282000,708.75
283,284000,707.0
285,286000,705.25
287,288000,715.75
289,290000,715.5
291,292000,713.75
293,294000,715.75
295,296000,711.5
297,298000,720.0
299,300000,716.0
301,302000,710.25
303,304000,703.0
305,306000,695.5
307,308000,705.5
309,310000,701.0
311,312000,699.5
313,314000,710.5
315,316000,700.25
317,318000,705.25
319,320000,715.75
321,322000,708.0
323,324000,706.0
325,326000,716.0
327,328000,712.75
329,330000,715.0
331,332000,710.25
333,334000,715.0
335,336000,710.5
337,338000,694.5
339,340000,698.5
341,342000,698.25
343,344000,695.75
345,346000,698.0
347,348000,692.75
349,350000,709.5
351,352000,703.25
353,354000,700.25
355,356000,700.5
357,358000,705.0
359,360000,712.0
361,362000,705.5
363,364000,710.75
365,366000,703.5
367,368000,710.5
369,370000,711.25
371,372000,717.75
373,374000,705.5
375,376000,716.0
377,378000,712.5
379,380000,710.75
381,382000,708.0
383,384000,710.0
385,386000,712.5
387,388000,709.75
389,390000,713.25
391,392000,707.75
393,394000,703.5
395,396000,713.25
397,398000,713.0
399,400000,711.75
401,402000,711.5
403,404000,712.0
405,406000,702.75
407,408000,713.25
409,410000,702.0
411,412000,716.0
413,414000,708.0
415,416000,703.0
417,418000,709.5
419,420000,721.5
421,422000,711.0
423,424000,712.0
425,426000,713.75
427,428000,705.75
429,430000,728.5
431,432000,734.25
433,434000,742.75
435,436000,754.5
437,438000,771.75
439,440000,772.75
441,442000,768.25
443,444000,786.75
445,446000,783.75
447,448000,778.25
449,450000,779.25
451,452000,780.5
453,454000,777.25
455,456000,780.0
457,458000,779.5
459,460000,768.0
461,462000,766.0
463,464000,768.0
465,466000,771.0
467,468000,771.25
469,470000,772.0
471,472000,773.5
473,474000,775.75
475,476000,783.25
477,478000,778.25
479,480000,771.5
481,482000,767.0
483,484000,763.75
485,486000,773.75
487,488000,773.0
489,490000,767.25
491,492000,771.5
493,494000,764.0
495,496000,775.25
497,498000,766.5
499,500000,779.0
501,502000,787.75
503,504000,780.5
505,506000,780.25
507,508000,778.75
509,510000,782.5
511,512000,775.5
513,514000,778.75
515,516000,776.5
517,518000,771.75
519,520000,772.75
521,522000,776.5
523,524000,774.25
525,526000,770.5
